พ.ศ.,2556,2557
เอเชียตะวันออก,16097468,14767849
    มาเลเซีย,3031072,2603671
    สิงคโปร์,1067286,960464
    ฟิลิปปินส์,315040,296339
    อินโดนีเซีย,595015,495662
    อินโดนีเซีย,740688,573184
    ลาว,984886,1063736
    กัมพูชา,487001,555852
    พม่า,173272,207749
    บรูไน,16181,13927
    ญี่ปุ่น,1515718,1254858
    เกาหลี,1292335,1109429
    จีน,4609717,4631981
    ไต้หวัน,503894,388425
    ฮ่องกง,694084,559284
    ประเทศอื่นๆ ในทวีปเอเชียตะวันออก,71279,53288
เอเชียใต้,1326518,1213785
    อินเดีย,1028414,906428
    ปากีสถาน,76935,73886
    อื่นๆ,221169,233471
ยุโรป,6155582,6028171
    สหราชอาณาจักร,847678,871226
    เยอรมนี,723711,698129
    ฝรั่งเศส,580062,607087
    สวีเดน,338304,320617
    เนเธอร์แลนด์,209659,204237
    สวิตเซอร์แลนด์,210056,210818
    อิตาลี,197232,211833
   เดนมาร์ก,159629,158275
   รัสเซีย,1745779,1596542
   อื่น ๆ,1143472,1149407
อเมริกา,1103963,1048911
    สหรัฐอเมริกา,788819,734514
    แคนาดา,209059,195429
    อื่น ๆ,106085,118968
โอเชียเนีย,1019374,943930
    ออสเตรเลีย,906004,837497
    อื่น ๆ,113370,106433
ตะวันออกกลาง,681173,644265
   อิสราเอล,133438,137552
   คูเวต,75388,61303
   อื่น ๆ,472347,445410
แอฟริกา,162647,162772
    แอฟริกา,162647,162772
